location,society,total_sqft,price,bath_processed,balcony_processed,availability_encoded,area_type_encoded,size_cleaned
Electronic City Phase II,Coomee ,1219.0,61.26,2,1,0,3,2
Raja Rajeshwari Nagar,GRvanun,1525.0,99.13,2,2,0,3,3
Kasavanhalli,Esareap,1147.0,60.0,2,1,2,3,2
Akshaya Nagar,DLhtsnd,1412.0,88.0,2,3,0,3,3
Nagarbhavi,KohraNa,1190.0,63.0,2,2,0,3,2
Jigani,DLhtsen,1352.0,65.0,3,1,0,3,3
Uttarahalli,SLnssPr,1330.0,39.9,2,2,0,3,3
Electronic City,Prarkun,1355.0,67.0,2,1,2,3,2
Ramamurthy Nagar,Vaharvi,1200.0,46.0,2,1,2,3,2
Sarjapur  Road,Tiare S,1342.0,70.0,2,1,0,0,2
Begur Road,Dhalsh ,1615.0,50.87,3,2,0,3,3
Devanahalli,Brrds O,1080.0,52.0,2,1,0,3,2
Gollahalli,SuanaNa,1600.0,31.0,2,1,0,3,2
Electronic City,Prtor N,1200.0,34.0,2,0,0,3,2
Amruthahalli,Pranai ,1605.0,65.0,3,2,0,0,3
Kammanahalli,Bhide P,1200.0,80.0,2,2,0,3,2
Chandapura,SunceEs,1230.0,31.37,2,2,2,3,3
Devasthanagalu,CMhidal,946.0,45.0,2,2,0,3,2
Sarjapur  Road,PualeSk,1711.0,110.0,3,1,2,3,3
Chandapura,SuVue S,950.0,25.65,2,1,2,3,2
Kudlu Gate,Brlms P,1656.0,80.0,3,2,0,3,3
Uttarahalli,Ayaya A,1075.0,46.76,2,1,0,3,2
LB Shastri Nagar,Ciisera,665.0,32.0,1,2,0,3,1
Electronics City Phase 1,Shitt S,1145.0,54.0,2,1,2,3,2
Whitefield,SSdhimr,1185.0,41.0,2,2,2,3,2
Marathahalli,Duals P,1693.0,125.0,3,2,0,0,3
Dollars Layout,Toiasle,2456.0,220.0,3,3,0,3,3
Rajaji Nagar,PhestOn,2559.0,403.0,3,2,0,3,3
Uttarahalli,SLnssPr,1155.0,40.6,2,1,0,3,2
KR Puram,Thisea ,1200.0,42.0,2,1,0,3,2
Janatha Colony,SGllaav,1439.0,57.23,3,1,0,3,3
Yelahanka,Velas V,1315.0,75.0,2,3,0,0,2
Vijayanagar,Rancy R,1178.0,82.0,2,3,0,3,2
Mahadevpura,Neisei ,1400.0,65.8,2,2,0,3,3
Thanisandra,Bhmesy ,1093.0,72.0,2,2,0,3,2
Horamavu Banaswadi,Bhave E,1200.0,45.0,2,1,0,3,2
1st Block Jayanagar,Bhsic C,1200.0,130.0,2,0,2,0,3
Uttarahalli,Revane ,1150.0,70.0,2,2,0,3,2
Whitefield,Oreldhi,1173.0,78.2,2,1,2,3,2
Thanisandra,SLaceda,1140.0,39.0,2,1,0,3,2
Jakkur Plantation,Reicace,1717.0,120.0,3,3,0,3,3
Mallasandra,GMilse ,1325.0,65.0,2,3,0,3,2
Hoodi,Macanr ,1370.0,67.0,3,2,0,0,3
Electronics City Phase 1,GMownTe,1025.0,90.0,2,1,2,3,2
Bellandur,SRageri,1200.0,52.0,2,1,0,3,2
Thanisandra,NRtesnd,1200.0,53.5,2,1,0,3,2
Whitefield,BrlisCo,1740.0,130.0,4,3,2,3,3
Hennur Road,Puachal,1232.0,88.0,2,1,2,3,2
Whitefield,Toindls,5924.0,625.0,4,3,0,3,4
Veersandra,Shnto F,1250.0,50.0,2,1,0,3,2
Munivenkatppa Layout,SNiew L,1475.0,171.0,2,2,0,0,2
Bommanahalli,Alarke ,2100.0,85.0,4,2,0,3,4
Padmanabhanagar,Gancy P,1067.0,52.0,2,2,0,3,2
Sarjapur,Sondaka,1364.0,56.0,2,2,0,3,3
Sathya Layout,NChtsun,1504.0,102.0,2,2,0,3,3
Hennur Road,Samittv,2365.0,175.0,4,2,0,3,3
Hoskote,Sohti S,1069.0,38.0,2,1,0,3,3
Hebbal,Prersis,1333.0,100.0,2,1,0,3,2
Devanahalli,Soyleif,6136.0,550.0,4,1,0,2,4
Thanisandra,Soitya ,1698.0,107.0,3,2,0,3,3
Raja Rajeshwari Nagar,Avlls H,1060.0,48.0,2,1,0,3,2
Sarjapur  Road,Arldsyo,1484.0,65.0,2,1,0,3,3
Hennur Road,Mileeou,1310.0,66.0,2,1,0,3,2
Shanti Nagar,HViesar,3000.0,240.0,4,1,0,3,4
Marathahalli,Duals P,1693.0,125.0,3,1,0,3,3
Jigani,DLhtsen,1230.0,60.0,3,3,0,3,3
Devanahalli,Ozdiaan,1200.0,145.0,3,1,2,2,3
Munnekollal,Sadhii ,1385.0,66.5,2,2,2,3,3
Tumkur Road,Redarav,1066.0,52.5,2,2,0,3,2
Thanisandra,DSity S,2293.0,80.26,3,2,2,3,3
7th Phase JP Nagar,Axdam V,1000.0,70.65,2,1,0,3,2
Nagavarapalya,MYncysi,907.0,38.0,2,2,0,3,2
Varthur,Vaensia,1395.0,79.0,2,3,0,3,3
Kumbena Agrahara,Shont F,1180.0,50.0,2,2,0,3,2
Hiremath Layout,MadorSp,1490.0,92.0,2,1,0,3,3
Yeshwanthpur,IBityin,1144.0,67.0,2,2,0,3,2
Hormavu,SLtraks,1143.0,53.0,2,1,0,3,2
Karuna Nagar,CoinoCu,2500.0,190.0,3,2,0,2,3
Whitefield,Prtates,1216.0,75.0,2,1,2,3,2
Nallurhalli,Mauil T,1044.0,60.0,2,1,2,3,2
Prithvi Layout,Prlmsge,1352.0,93.0,3,1,0,3,2
Bellandur,Krala D,1785.0,120.0,3,2,0,0,3
Banashankari Stage V,Naiewre,1650.0,51.98,3,2,2,3,3
Whitefield,Rabow R,1060.0,35.0,2,1,0,3,2
Nagarbhavi,DSesthr,1523.0,56.0,2,2,0,3,3
Kanakpura Road,PrityFa,1591.0,122.0,3,1,2,3,3
Ashwath Nagar,SJcerpe,1640.0,84.0,3,3,0,3,3
Yelahanka New Town,KHatsFl,450.0,16.0,1,0,0,0,1
Bannerghatta Road,Amarere,1305.0,60.0,2,2,0,3,3
Kaggadasapura,Frowsru,1240.0,45.0,2,3,0,0,2
Koramangala,K ncy R,1180.0,128.0,2,1,0,3,2
Bisuvanahalli,Prityel,845.0,33.0,2,1,0,3,2
Channasandra,Unm 2El,1310.0,45.0,2,2,0,3,3
Kambipura,Prrtht ,883.0,37.0,2,1,0,3,2
Yelahanka,Goues A,1390.0,70.21,2,2,2,3,2
Kenchenahalli,AriosPa,1280.0,69.0,2,2,0,3,3
Yelahanka,PuziaVe,1614.0,95.0,3,2,0,3,3
Ambalipura,Sisice ,950.0,31.95,2,1,2,3,2
Akshaya Vana,Daganva,1141.0,55.0,2,1,0,3,2
5th Phase JP Nagar,Saisena,1200.0,51.0,2,2,0,3,2
Doddathoguru,Elayabh,855.0,32.0,2,1,0,3,2
Chandapura,SunceEs,645.0,16.45,1,1,2,3,1
Chandapura,Siissi ,922.0,36.0,2,1,0,3,2
Nagadevanahalli,Gaenty ,1240.0,65.0,2,2,0,3,3
Rajiv Gandhi Nagar,Almid P,1293.0,75.0,2,2,0,3,2
Yelahanka New Town,Cerasy ,1599.0,80.0,3,2,0,3,3
Nehru Nagar,Veyalin,967.0,41.1,2,2,0,3,2
Silver Springs Layout,SaMTBai,1885.0,90.0,3,3,0,3,3
Sarjapur  Road,Ahriaup,1050.0,63.5,2,1,0,3,2
Marathahalli,PuilaMi,1595.0,88.0,3,2,0,3,3
Sarjapur  Road,Adeatlm,1350.0,102.0,2,2,0,3,2
Hebbal,Srntsha,1204.0,45.0,2,2,0,0,2
Sarjapur  Road,SoineJa,2990.0,240.0,4,2,0,3,4
Sarjapur  Road,Usquaya,1035.0,49.0,2,2,0,3,2
Sarjapur  Road,CoLeoen,1457.0,85.0,3,3,0,3,3
Whitefield,Prtates,1655.0,120.0,3,3,2,3,3
Ramagondanahalli,ViistLa,1215.0,46.1,2,1,2,3,2
Kanakpura Road,Wiowsri,1010.0,50.125,2,0,0,3,2
Hoodi,GoAirej,1639.0,129.0,3,2,2,3,3
Sarjapur  Road,PualeSk,1685.0,135.0,3,1,2,3,3
Hormavu,Jhntspa,1100.0,38.0,2,3,0,3,2
Marathahalli,Vaeva E,2122.0,125.0,3,2,2,3,3
Kengeri,Sravema,1230.0,45.0,2,2,0,0,2
Electronic City Phase II,Brods W,1252.0,65.0,2,3,2,0,3
8th Phase JP Nagar,Maian M,500.0,30.0,1,1,2,3,1
Hebbal,Magiaya,1355.0,83.87,3,2,2,3,3
Sarjapur  Road,Contsci,1350.0,68.0,2,2,0,3,2
Whitefield,Prtates,4003.0,300.0,6,3,2,3,4
Hennur,JahtsHe,2400.0,135.0,3,3,0,3,3
Haralur Road,Grterrr,1560.0,90.0,3,1,0,3,3
Anandapura,ViensRK,1151.0,43.16,2,1,2,3,2
Crimson Layout,ARntyne,1250.0,60.0,2,2,0,3,2
Chandapura,SuVue S,1110.0,29.97,2,2,2,3,3
Hennur Road,Baesta ,1015.0,50.0,2,2,0,0,2
Kadugodi,Trade E,1351.0,78.0,2,2,0,3,3
Yelahanka New Town,KHatsFl,960.0,50.0,2,2,0,3,2
R.T. Nagar,GModsNR,1680.0,72.0,3,2,0,0,3
Arekere,Vetanan,2400.0,180.0,3,1,0,2,3
Yemlur,Epllan ,11000.0,2000.0,5,3,2,2,4
Ramamurthy Nagar Extension,SaaceSa,1350.0,48.6,3,2,2,0,3
Horamavu Banaswadi,Asorai ,1254.0,47.0,2,2,0,3,2
Haralur Road,Ozensve,1255.0,115.0,3,2,0,3,3
CV Raman Nagar,ARestco,1051.0,61.0,2,3,0,3,2
Uttarahalli,RaontWa,1099.0,65.0,2,2,0,0,2
Hebbal,SNontle,2650.0,199.0,4,3,0,3,3
Yeshwanthpur,RNvasth,1541.0,130.0,2,2,0,3,2
Sarjapur  Road,Cetattu,1200.0,70.0,3,2,2,2,3
Whitefield,GCngsn ,1125.0,45.0,2,2,0,0,2
Vittasandra,Prlla C,1650.0,85.0,3,2,0,3,3
Ashwini layout,Kaantth,834.0,62.0,1,1,0,3,1
Gollarapalya Hosahalli,Mauner ,1320.0,60.0,3,2,0,3,3
Mysore Road,Brama P,1500.0,74.0,3,2,2,3,3
Whitefield,Pronege,4400.0,500.0,5,2,0,2,4
Whitefield,Suram S,1180.0,70.0,2,2,0,3,2
Kadugodi,SLoven ,1010.0,50.0,2,1,0,3,2
Iblur Village,DNionfl,1920.0,130.0,3,2,0,3,3
Kalena Agrahara,Prmesi ,1040.0,45.0,2,2,0,0,2
Hulimavu,Inods A,1430.0,90.0,2,2,0,3,3
Domlur,Saiewas,650.0,70.0,1,1,0,3,1
Thanisandra,Soitya ,1564.0,105.0,3,1,0,3,3
Raja Rajeshwari Nagar,GrrvaGr,1128.0,48.79,2,1,0,3,2
Begur Road,Dhalsh ,1200.0,44.4,2,2,0,3,2
Jakkur Plantation,Leora D,2750.0,260.0,3,1,0,3,3
Yelahanka,BKideor,1650.0,105.0,3,3,0,0,3
Yelahanka,JSlipTu,1200.0,55.0,2,2,0,0,2
Kengeri Satellite Town,Malowr ,985.0,42.0,2,2,0,3,2
Ramagondanahalli,ViistLa,1475.0,63.0,2,2,2,3,3
Hebbal,Brium C,3450.0,348.0,5,0,0,3,3
Sarjapur  Road,AsastDe,1157.0,53.99,2,1,2,3,3
Canara Bank Colony,Apvas N,900.0,35.0,2,3,0,0,2
Sarjapur  Road,Vaunei ,3800.0,325.0,3,3,0,0,4
Brookefield,Goodsrb,1950.0,175.0,6,3,0,2,5
Kudlu,GKityde,1570.0,65.94,2,2,0,3,3
Kanakapura,GoityEt,1283.0,68.0,2,2,2,3,2
Electronic City Phase II,Assha A,875.0,40.0,2,2,0,0,3
Old Madras Road,Brica E,3630.0,196.0,6,1,2,3,4
Yelahanka,Pyikad ,990.0,37.62,2,2,0,3,2
Panathur,Prcesvy,1199.0,85.0,2,1,0,3,2
Reliaable Tranquil Layout,Myhrie ,1190.0,55.0,2,1,0,0,2
Harlur,Spiteid,1133.0,55.0,2,1,0,0,2
Somasundara Palya,ManceEl,2400.0,140.0,3,3,0,0,4
Begur Road,Dhalsh ,1565.0,49.3,2,2,0,3,3
Munnekollal,PancyRe,1080.0,45.0,2,2,0,0,2
Himagiri Meadows,Hiowsi ,1240.0,180.0,4,1,0,2,3
HRBR Layout,Fleepi ,1335.0,87.0,2,1,0,0,3
JP Nagar,Pehtsa ,3103.0,237.5,2,1,2,3,3
HSR Layout,NRosete,1140.0,46.0,2,2,0,3,2
Sarjapur  Road,PualeSk,1700.0,79.9,3,1,2,3,3
Electronic City,GMown E,435.0,22.0,1,1,0,3,1
Magadi Road,Vrenty ,1116.0,51.89,2,1,0,3,2
Old Madras Road,Brglede,1480.0,95.0,3,2,0,3,3
Hormavu,Foisha ,1000.0,50.0,2,2,0,0,2
HSR Layout,NRosete,1145.0,46.0,2,2,0,3,2
Bommasandra,Niara S,800.0,32.0,1,1,0,3,2
Thanisandra,Bhmesy ,1265.0,83.0,2,1,2,3,2
Devanahalli,Oznuean,1450.0,88.2,3,0,2,3,3
Narayanappa Garden,Vacle P,1475.0,70.0,2,1,0,3,2
BTM 2nd Stage,Jancyva,1265.0,55.0,2,2,0,3,2
1st Phase JP Nagar,Prhtsok,2180.0,210.0,3,2,0,3,3
Brookefield,Usnexra,1080.0,50.0,2,3,0,3,2
Whitefield,Priew P,2023.0,130.0,4,2,0,3,3
Kadubeesanahalli,Srhan P,1545.0,66.0,2,2,0,3,3
Kalena Agrahara,Prillot,1804.0,166.0,3,2,0,3,3
Hoodi,GoAirej,1108.0,74.23,2,1,2,3,2
Marathahalli,Asintas,1730.0,115.0,3,2,0,3,3
RWF West Colony,PancyRe,1427.0,70.0,2,3,0,3,3
Yelahanka,Pyikad ,935.0,35.53,2,1,0,3,2
Sarjapura - Attibele Road,Soe 2as,1073.0,31.77,2,2,0,3,2
Ananth Nagar,Patri M,960.0,37.0,2,3,0,0,2
Thigalarapalya,Prtanha,2215.0,150.0,4,2,0,3,3
Electronic City Phase II,Sryalan,1125.0,32.49,2,1,2,0,2
Mahadevpura,Neagar ,1438.0,89.0,2,3,0,3,2
7th Phase JP Nagar,Brnia G,1080.0,75.0,2,2,0,3,2
Uttarahalli,Aklia R,1590.0,58.0,3,2,0,3,3
Seetharampalya,Mazler ,1350.0,68.0,3,2,0,3,3
Kaggadasapura,Aincyev,1560.0,72.0,2,3,0,3,3
Mallasandra,Shbhi S,1810.0,57.0,3,2,0,0,4
Kanaka Nagar,SoniaPe,2274.24,160.0,4,1,0,3,3
Sonnenahalli,Skacak ,1484.0,74.18,3,1,2,3,3
Indira Nagar,MCtleas,1650.0,220.0,3,3,0,0,3
Stage-4 Bommanahalli,Pantsce,1455.0,55.0,2,2,0,3,3
Thanisandra,G conTh,2280.0,184.0,4,2,0,3,3
Bharathi Nagar,FoapeWa,1351.0,74.0,2,2,0,3,2
KR Puram,MCnexva,1430.0,61.0,2,1,2,3,3
Whitefield,Prrry M,3589.0,400.0,5,0,0,0,4
Electronic City Phase II,Sryalan,1310.0,37.83,2,2,2,3,3
Sarjapur  Road,AsastDe,984.0,55.0,2,1,2,3,2
Jalahalli,Reodsnc,1770.0,100.0,3,3,0,0,3
Bhoganhalli,Rosha I,1447.0,75.97,2,1,2,3,2
Kanakpura Road,Soena A,1296.0,89.0,2,1,2,3,2
Kempapura,Vaenev ,1570.0,80.0,3,2,0,0,3
Nagappa Reddy Layout,Ablmsol,1495.0,65.0,2,2,0,3,3
Hoodi,Shyalha,1530.0,67.0,2,2,0,3,3
Gunjur,Paestol,1800.0,70.0,3,1,0,3,3
Bellandur,DSpazTo,1088.0,48.0,2,2,0,3,2
Hosa Road,Skume R,1533.0,98.18,3,1,2,3,3
Thubarahalli,Asnts a,1540.0,90.0,3,3,0,0,3
Hebbal,Jancyes,1244.0,48.0,3,3,0,3,2
Hosa Road,Skume R,1040.0,68.59,2,1,2,3,2
Uttarahalli,Shony S,1180.0,41.3,2,1,0,3,2
Thigalarapalya,Prtanha,1245.0,100.0,2,2,0,3,2
Sarjapur,DSousyl,1124.0,30.35,2,1,0,3,2
Begur Road,Pruthg ,1100.0,71.42,2,1,2,3,2
Vijayanagar,Smentha,1019.0,58.0,2,1,0,3,2
Harlur,SosicCl,1756.0,128.0,3,2,0,3,3
Bommasandra,SSestth,1280.0,50.0,3,1,2,3,3
Whitefield,Prtates,2134.0,118.0,4,2,2,3,3
Hosa Road,Sosisic,1369.1,98.0,2,1,2,3,2
Carmelaram,DSensn ,2515.0,155.0,4,3,0,3,3
Thigalarapalya,Prtanha,2215.0,154.0,4,2,0,3,3
Basapura,Amageru,1440.0,72.0,3,2,0,3,3
Hennur Road,Koagati,1186.0,55.33,2,2,0,3,3
Hebbal,Chtert ,1800.0,140.0,3,2,0,3,3
Kudlu,GKityde,1600.0,79.0,3,3,0,0,3
GM Palaya,Srg Bnc,1000.0,35.0,2,1,0,0,2
Banashankari Stage III,Pridsi ,1305.0,59.0,2,1,0,3,3
Binny Pete,She 2rk,1740.0,150.0,3,1,2,3,3
Benson Town,Gohts H,1567.0,140.0,3,0,0,0,2
Kambipura,Prrtht ,1082.0,45.5,2,1,0,3,3
Begur,Duity C,3500.0,185.0,4,2,0,0,3
Dasarahalli,Syonyph,1220.0,52.0,2,2,0,3,2
6th Phase JP Nagar,NCierar,1170.0,120.0,2,2,0,3,2
Ankappa Layout,Ajens G,1670.0,75.0,3,2,0,3,3
Hennur Road,Samittv,2264.0,168.0,3,2,0,3,3
Byadarahalli,ETntsce,3500.0,450.0,5,2,2,3,4
Begur,Viodspr,1100.0,55.0,2,2,0,3,2
Koramangala,Proodt ,1320.0,160.0,2,1,0,3,2
Electronics City Phase 1,PSmalsh,1125.0,65.0,2,2,0,3,2
BTM Layout,Lancya ,1300.0,75.0,2,1,0,0,3
JP Nagar,Meowns ,1600.0,83.0,3,2,0,3,3
Magadi Road,Vrenty ,1052.0,60.0,2,1,2,3,3
 Devarachikkanahalli,Ladenea,1130.0,36.0,2,2,0,3,2
BTM 2nd Stage,SNe 2ev,2200.0,220.0,3,3,0,3,3
Electronic City,GMown E,1500.0,63.0,2,1,0,0,3
Old Madras Road,Shmes O,1350.0,47.25,3,1,2,3,3
Gottigere,MBireap,1230.0,52.0,2,2,0,3,3
Haralur Road,SNnia E,1520.0,85.0,2,2,2,3,3
Kanakpura Road,PrarePa,525.0,26.25,1,1,2,3,1
Hosa Road,Skume R,1040.0,61.0,2,1,2,3,2
Old Airport Road,Jaades ,2690.0,201.0,4,3,2,3,4
Domlur,Saiewas,780.0,70.0,1,1,0,3,1
Panathur,Saite G,1140.0,51.2,2,1,0,3,2
Chandapura,SuVue S,1225.0,33.08,3,1,2,3,3
Nagavarapalya,MYncysi,646.0,25.84,1,0,0,0,1
Kadugodi,Alestrb,1890.0,125.0,4,3,2,3,3
Whitefield,BMttaor,1458.0,62.0,2,2,0,3,3
Balagere,Soresea,1007.0,67.0,2,1,0,0,2
Doddathoguru,M ondit,1105.0,50.0,2,1,0,3,2
Lakshminarayana Pura,RothaVa,1700.0,150.0,3,3,0,3,3
Raja Rajeshwari Nagar,Dehts H,1170.0,50.0,2,3,0,3,2
Chandapura,GCbowai,1080.0,45.0,2,3,0,0,2
Kaggalipura,Baowsig,1150.0,62.0,2,1,0,3,3
Ramamurthy Nagar,Vaharvi,1200.0,57.9,2,1,2,3,2
Kudlu Gate,Brlms P,1656.0,75.0,3,2,0,3,3
KR Puram,Hivesdr,1040.0,50.0,2,2,0,3,2
Hosur Road,Collsrn,1085.0,33.7,2,2,0,3,2
Hoodi,Kreera ,1100.0,120.0,4,1,0,2,4
Kallumantapa,SMncyy ,1050.0,55.0,2,1,0,0,2
Iblur Village,DNionfl,1920.0,150.0,3,2,2,3,3
Mysore Road,PrntaEn,947.55,80.0,2,1,0,3,2
Malleshpalya,KencyRe,1421.0,90.0,2,1,0,0,2
Old Madras Road,Saesttt,1425.0,74.31,2,2,2,3,3
Budigere,PrityTr,1162.0,58.0,2,1,0,3,2
Whitefield,Prtates,905.0,60.0,1,1,2,3,1
Sarjapur  Road,Shthi S,914.0,32.0,2,1,0,3,2
Hormavu,Prageta,3500.0,289.0,4,1,0,2,4
Whitefield,BMttaor,1537.0,70.0,2,3,0,3,3
Malleshwaram,Aimesya,2250.0,200.0,3,1,0,3,3
Hosur Road,KrineAq,2000.0,69.0,4,1,0,2,4
Anjanapura,ACopsva,950.0,32.0,2,0,0,0,2
Marathahalli,PueraRi,4000.0,200.0,4,0,0,3,4
Yelahanka,Pyikad ,1282.0,48.72,2,1,0,3,3
Jakkur,Paurt C,1220.0,49.0,2,2,0,0,3
Budigere,PrityTr,1636.0,85.0,3,2,0,3,3
7th Phase JP Nagar,Kaiew L,1415.0,65.0,3,1,0,0,3
Green Glen Layout,Soweray,1728.0,125.0,3,2,0,3,3
7th Phase JP Nagar,Eladero,1680.0,125.0,3,3,0,3,3
Venkatapura,ThBayah,1235.0,140.0,2,1,2,3,2
Kasavanhalli,HMonymp,1495.0,83.0,2,2,0,0,2
Yeshwanthpur,IBityin,2501.0,138.0,3,3,0,3,3
Kanakpura Road,Roiti A,381.0,28.0,1,0,2,1,1
Gopalapura,Sothadr,3301.8,570.0,5,2,2,3,4
Hennur Road,SaireSa,2002.0,120.0,3,2,0,3,3
Meenakunte,Sreat R,3200.0,260.0,3,0,2,0,3
Bommasandra,IcudiMa,1942.0,90.0,3,0,2,2,3
Electronics City Phase 1,Shitt S,1450.0,60.75,3,0,0,3,3
Basavanna Nagar,Itala A,1450.0,90.0,3,2,0,0,3
Electronic City,MDonta ,1039.0,50.0,2,1,0,3,2
Old Madras Road,Brglede,1210.0,80.0,2,1,0,3,2
Attibele,DSvar S,995.0,24.88,1,1,0,3,2
Yelahanka,NCarkna,1620.0,90.0,3,2,0,0,3
Choodasandra,LGlarAs,3204.0,395.0,4,3,0,0,3
Hebbal Kempapura,GonumPl,3408.0,260.0,3,3,0,0,3
Marathahalli,Kames S,1314.0,55.0,2,3,0,0,2
Bisuvanahalli,Prityel,945.0,33.0,2,1,0,3,2
Nehru Nagar,Undge T,1374.0,72.0,3,2,0,0,3
Kanakpura Road,PrityFa,1603.0,113.0,3,3,2,0,3
Kengeri,Vaens G,1230.0,52.0,2,2,0,0,3
Sarjapur  Road,Ahriaup,1864.0,105.0,3,2,0,3,4
Hosa Road,Gllas V,2500.0,100.0,3,2,2,0,3
Raja Rajeshwari Nagar,DScon S,1625.0,54.0,2,2,0,3,3
Whitefield,Sonviik,1186.0,55.0,2,3,0,3,2
Electronic City,GMown E,770.0,39.9,1,1,0,3,2
Varthur,HioraTr,1085.0,45.0,2,1,2,3,2
Dairy Circle,Soeurri,3754.0,480.0,6,2,0,3,4
Dodsworth Layout,Ciques ,1893.0,115.0,3,2,0,3,3
Kundalahalli,AnentAp,1496.0,78.0,2,3,0,3,3
Chandapura,SunceEs,1305.0,33.28,3,1,2,3,3
Electronics City Phase 1,Shiaa S,1550.0,82.0,2,2,0,3,3
Badavala Nagar,DNncasa,1494.0,94.55,2,2,2,3,3
Electronic City Phase II,SJmesst,1286.0,69.0,2,2,0,3,2
Hebbal,MVkleiw,1860.0,95.0,3,2,0,3,3
Haralur Road,RInceeg,1243.0,45.0,2,2,0,3,2
Brookefield,Stlomg ,1200.0,75.0,2,2,0,3,2
Sarjapur,Peles P,1044.0,32.0,2,2,0,3,2
7th Phase JP Nagar,SrncyRe,1040.0,41.59,2,1,0,3,2
Subramanyapura,Prldsri,1278.0,59.0,2,2,0,3,3
Belatur,ViaarSa,1250.0,43.0,2,1,0,3,2
KR Puram,Henue A,4166.0,560.0,5,3,0,2,5
Sarjapur  Road,AsastDe,1157.0,57.84,2,1,2,3,3
Raja Rajeshwari Nagar,GrrvaGr,1185.0,51.15,2,1,0,3,2
Kalena Agrahara,MancyRe,1450.0,100.0,3,3,0,3,3
Old Madras Road,Sastaat,1859.0,121.0,3,2,0,3,3
Rajaji Nagar,PhestOn,1763.0,262.0,3,2,0,3,2
Attibele,Inenshe,900.0,25.0,1,1,2,3,2
Ramamurthy Nagar,Foghaa ,1305.0,60.0,3,1,0,3,3
Thanisandra,Gontsoo,763.0,35.285,1,0,0,3,1
Sarjapur  Road,Shthi S,1150.0,36.8,2,0,0,3,2
Whitefield,Agtiaur,1806.0,85.0,3,3,0,0,3
Kudlu,Srrnasa,1027.0,42.0,2,2,0,3,2
Uttarahalli,DSera S,1002.0,40.08,2,1,2,3,2
Electronic City Phase II,Sryalan,1220.0,36.21,2,1,2,3,3
Whitefield,SMuilan,1109.0,35.22,2,1,0,3,2
Uttarahalli,DSera S,1002.0,40.08,2,1,0,0,2
Narayanapura,AriosHe,1308.0,89.04,2,1,0,3,2
Hennur Road,Puachal,1232.0,69.6,2,1,2,3,2
Raja Rajeshwari Nagar,GrrvaGr,1255.0,53.87,2,1,0,3,2
Akshaya Nagar,DLhtsnd,1434.0,84.0,3,3,0,0,3
Doddathoguru,Vabow R,925.0,30.0,2,2,0,0,2
Jakkur,Ceezey ,1858.0,123.0,3,1,2,3,3
Jakkuru Layout,Vithm R,1205.0,70.0,2,1,0,0,2
Nelamangala,V2gesre,1500.0,90.0,3,2,2,2,3
Thanisandra,Bhmesy ,965.0,56.0,2,1,0,3,2
Battarahalli,PaontWa,1636.0,82.89,2,2,0,3,2
Kundalahalli,Dieldli,1724.0,125.0,3,1,2,3,3
Whitefield,Prtates,1216.0,67.0,2,1,2,3,2
Yelahanka,Prensya,654.0,36.25,1,1,2,3,1
Budigere,PrityTr,1636.0,92.0,3,2,0,3,3
Hennur Road,Shxorm ,1195.0,73.0,2,2,2,3,2
Nagavara,Vancyat,2400.0,251.0,3,3,0,3,3
Whitefield,Nillsre,1452.0,90.0,3,1,0,3,3
Thanisandra,Bhe 2ko,1546.0,95.0,3,1,2,3,3
Sarjapur  Road,Cetattu,3307.0,142.0,6,0,0,0,4
Indira Nagar,Suurtni,1475.0,171.0,2,2,0,3,2
JP Nagar,Arentra,3000.0,150.0,3,2,0,0,4
Balagere,Soresea,1007.0,66.0,2,1,0,3,2
Kada Agrahara,CoaveAt,909.0,43.0,2,1,0,0,3
Dodsworth Layout,Ciques ,1400.0,85.0,2,3,0,3,2
Whitefield,SrireSo,1150.0,55.0,2,2,0,3,2
Old Madras Road,Brica E,2990.0,173.0,5,1,0,3,3
Bellandur,Trows M,1310.0,85.0,2,2,0,3,2
Hosur Road,Saageat,1590.0,126.0,2,2,0,3,3
Green Glen Layout,SoosePr,1645.0,110.0,3,2,0,3,3
Thanisandra,Soitya ,1795.0,150.0,3,2,0,3,3
Thanisandra,Bhe 2ko,620.0,38.535,1,0,2,3,1
Kalkere,Sothin ,925.0,70.0,2,2,0,3,2
Konanakunte,Prasa W,3746.0,375.0,6,1,0,2,4
Thanisandra,MenueNo,1430.0,54.0,2,2,0,3,3
Bommanahalli,Jaw 2 L,1020.0,55.0,2,2,0,3,2
Electronic City Phase II,Sryalan,1140.0,32.92,2,1,2,3,2
Hebbal,Raard B,2470.0,203.0,4,2,2,3,4
Maruthi Nagar,PavanSa,850.0,35.5,1,0,0,0,2
Thanisandra,Soitya ,1697.0,110.0,3,2,0,3,3
Gottigere,Pridei ,1120.0,50.0,2,2,0,3,2
Thanisandra,Bhmesy ,1492.0,88.0,3,1,0,0,3
Devanahalli,Sabixtt,1498.0,79.15,3,3,2,3,3
Bellari Road,Sohid O,3500.0,350.0,2,1,0,0,4
Kundalahalli,Rasom B,1010.0,48.27,2,1,0,3,2
Hennur,Shateor,1255.0,53.5,2,2,0,3,2
Channasandra,Unm 2El,1050.0,35.0,2,1,0,3,2
Hegde Nagar,SoitaCa,1847.0,125.0,3,2,0,3,3
Hegde Nagar,SoisoCa,2144.6,145.0,4,2,0,3,3
Kengeri,VBeriav,750.0,36.5,2,1,0,3,2
