location,total_sqft,price,bath_processed,balcony_processed,availability_encoded,area_type_encoded,size_cleaned
Devanahalli,1080.0,52.0,2,1,0,3,2
Gollahalli,1600.0,31.0,2,1,0,3,2
Electronic City,1200.0,34.0,2,0,0,3,2
Hennur Road,2700.0,150.0,3,2,2,2,3
Billapura,1780.0,110.0,3,0,0,0,3
Amruthahalli,1605.0,65.0,3,2,0,0,3
Ulsoor,7200.0,1584.0,5,2,2,3,4
Doddabommasandra,646.0,65.0,2,1,0,2,3
Kammanahalli,1200.0,80.0,2,2,0,3,2
Margondanahalli,900.0,49.0,2,0,0,2,2
Sarjapur,1830.0,88.0,3,1,2,0,3
Vishwapriya Layout,690.0,83.0,4,1,0,2,5
Srirampuram,650.0,500.0,1,3,0,0,1
MS Pallya,1800.0,68.0,4,1,0,2,5
Chandapura,715.0,32.0,2,0,0,0,3
Chandapura,1230.0,31.37,2,2,2,3,3
Uttarahalli,1065.0,42.59,2,1,0,3,2
2nd Phase JP Nagar,1350.0,185.0,8,2,0,2,8
Srinagar,1080.0,149.0,3,2,0,2,3
KHB Colony Extension,900.0,65.0,2,0,0,0,3
Devasthanagalu,946.0,45.0,2,2,0,3,2
Laggere,1500.0,60.0,1,0,0,3,1
Sarjapur  Road,1711.0,110.0,3,1,2,3,3
Attur Layout,1200.0,160.0,3,2,0,2,4
Chandapura,950.0,25.65,2,1,2,3,2
Kudlu Gate,1656.0,80.0,3,2,0,3,3
Uttarahalli,1075.0,46.76,2,1,0,3,2
Harlur,1752.12,133.0,3,2,0,3,3
Hebbal,6000.0,220.0,8,0,0,2,8
Kaverappa Layout,1540.0,85.0,3,3,0,3,3
6th Phase JP Nagar,600.0,125.0,4,3,0,2,4
LB Shastri Nagar,665.0,32.0,1,2,0,3,1
Sector 2 HSR Layout,1665.0,110.0,3,2,0,3,3
Electronics City Phase 1,1145.0,54.0,2,1,2,3,2
Whitefield,1185.0,41.0,2,2,2,3,2
2nd Phase JP Nagar,1200.0,190.0,3,1,0,2,3
Marathahalli,1693.0,125.0,3,2,0,0,3
Dollars Layout,2456.0,220.0,3,3,0,3,3
Rajaji Nagar,2559.0,403.0,3,2,0,3,3
Uttarahalli,1155.0,40.6,2,1,0,3,2
Divya Unnathi Layout,1610.0,64.4,2,2,2,3,3
Whitefield,1200.0,56.58,3,2,2,2,3
Anjana Nagar,1530.0,185.0,2,1,0,2,2
EPIP Zone,1709.0,80.0,3,1,0,0,3
Amruthahalli,600.0,60.0,4,0,0,2,4
Brookefield,2700.0,290.0,8,0,0,2,8
Subramanya Nagar,840.0,150.0,1,1,0,2,1
Gottigere,1400.0,50.0,2,1,0,3,3
KR Puram,1200.0,42.0,2,1,0,3,2
Janatha Colony,1439.0,57.23,3,1,0,3,3
Kasavanhalli,1375.0,72.0,2,2,0,3,2
BTM 2nd Stage,2990.0,416.0,5,3,0,2,5
Vijayanagar,1200.0,75.0,2,1,0,3,3
Yelahanka,1315.0,75.0,2,3,0,0,2
Dommasandra,1500.0,40.0,2,0,2,2,2
Yelahanka,3600.0,200.0,6,1,0,0,6
Vijayanagar,1178.0,82.0,2,3,0,3,2
Bannerghatta Road,1430.0,59.0,3,2,0,3,3
Mahadevpura,1400.0,65.8,2,2,0,3,3
Thanisandra,1093.0,72.0,2,2,0,3,2
Horamavu Banaswadi,1200.0,45.0,2,1,0,3,2
Magadi Road,5000.0,360.0,6,1,0,2,5
1st Block Jayanagar,1200.0,130.0,2,0,2,0,3
Whitefield,2210.0,156.0,3,2,2,0,3
Uttarahalli,1150.0,70.0,2,2,0,3,2
Silk Board,1435.0,60.0,2,1,0,3,3
Mathikere,600.0,100.0,3,1,0,2,4
Whitefield,1173.0,78.2,2,1,2,3,2
Thanisandra,1140.0,39.0,2,1,0,3,2
Jakkur Plantation,1717.0,120.0,3,3,0,3,3
Mallasandra,1325.0,65.0,2,3,0,3,2
Hoodi,1370.0,67.0,3,2,0,0,3
Electronics City Phase 1,1025.0,90.0,2,1,2,3,2
Doddakammanahalli,1409.0,62.0,2,3,0,3,3
Bellandur,1200.0,52.0,2,1,0,3,2
Thanisandra,1200.0,53.5,2,1,0,3,2
Whitefield,1740.0,130.0,4,3,2,3,3
Hennur Road,1232.0,88.0,2,1,2,3,2
Chandapura,1200.0,36.0,2,1,2,2,2
Whitefield,5924.0,625.0,4,3,0,3,4
Veersandra,1250.0,50.0,2,1,0,3,2
Munivenkatppa Layout,1475.0,171.0,2,2,0,0,2
Bommanahalli,2100.0,85.0,4,2,0,3,4
5th Phase JP Nagar,552.0,23.5,1,1,0,3,1
Uttarahalli,1065.0,42.59,2,2,0,3,3
Hennur,1000.0,130.0,3,1,2,2,3
Lakshmipura,1225.0,65.0,2,0,0,2,2
Harsha Layout,650.0,16.0,1,0,0,0,1
Padmanabhanagar,1067.0,52.0,2,2,0,3,2
Sarjapur,1364.0,56.0,2,2,0,3,3
Tata Nagar,1750.0,75.0,3,3,0,3,3
Bannerghatta Road,1240.0,71.0,2,1,0,3,2
Hulimavu,1200.0,75.0,2,0,0,2,2
Kaggadasapura,1540.0,75.0,3,0,0,3,3
Sathya Layout,1504.0,102.0,2,2,0,3,3
New Thippasandra,1116.0,49.8,2,1,0,3,2
Hennur Road,2365.0,175.0,4,2,0,3,3
Sarjapura - Attibele Road,1308.0,37.0,2,2,0,0,2
Vijayanagar,864.0,45.0,2,0,0,0,2
Vidyaranyapura,1200.0,139.0,5,1,0,2,5
Hoskote,1069.0,38.0,2,1,0,3,3
Hebbal,1333.0,100.0,2,1,0,3,2
Chennammana Kere,1800.0,145.0,4,1,0,3,4
Devanahalli,6136.0,550.0,4,1,0,2,4
Thanisandra,1698.0,107.0,3,2,0,3,3
JP Nagar,1275.0,43.6,2,2,2,3,3
Raja Rajeshwari Nagar,1060.0,48.0,2,1,0,3,2
Hennur,1160.0,49.0,2,1,0,3,2
Sarjapur  Road,1484.0,65.0,2,1,0,3,3
Hosa Road,675.0,70.0,3,1,0,2,3
BEML Layout,1200.0,325.0,5,1,0,2,3
Hennur Road,1310.0,66.0,2,1,0,3,2
Vijayanagar,1806.0,370.0,6,1,0,2,6
Shanti Nagar,3000.0,240.0,4,1,0,3,4
Varthur,2145.0,165.0,3,2,0,3,3
Marathahalli,1693.0,125.0,3,1,0,3,3
Jigani,1230.0,60.0,3,3,0,3,3
Devanahalli,1200.0,145.0,3,1,2,2,3
Bommasandra Industrial Area,1310.0,37.83,2,1,2,0,3
Tigalarpalya,1150.0,60.0,2,1,0,3,2
Munnekollal,1385.0,66.5,2,2,2,3,3
Tumkur Road,1066.0,52.5,2,2,0,3,2
Thanisandra,2293.0,80.26,3,2,2,3,3
Tindlu,720.0,81.0,3,1,0,2,3
2nd Block Bel Layout,1625.0,92.0,3,3,0,1,3
Vittasandra,1246.0,67.4,2,1,0,3,2
Vijayanagar,2100.0,252.0,6,1,0,2,4
sarjapura main road,2400.0,250.0,4,3,0,3,4
Raja Rajeshwari Nagar,3900.0,195.0,6,3,0,2,6
7th Phase JP Nagar,1000.0,70.65,2,1,0,3,2
Nagavarapalya,907.0,38.0,2,2,0,3,2
Ulsoor,3500.0,138.0,4,0,0,2,4
Varthur,1395.0,79.0,2,3,0,3,3
Kumbena Agrahara,1180.0,50.0,2,2,0,3,2
Banaswadi,1903.0,140.0,6,2,0,2,5
Electronic City,1175.0,47.0,2,1,2,3,2
Coconut Grove Layout,1272.0,51.5,2,2,0,3,2
Hiremath Layout,1490.0,92.0,2,1,0,3,3
Yeshwanthpur,1144.0,67.0,2,2,0,3,2
Anekal - Hosur Road,2400.0,140.0,5,2,2,2,4
Hormavu,1143.0,53.0,2,1,0,3,2
Karuna Nagar,2500.0,190.0,3,2,0,2,3
Whitefield,1216.0,75.0,2,1,2,3,2
Nallurhalli,1044.0,60.0,2,1,2,3,2
Prithvi Layout,1352.0,93.0,3,1,0,3,2
Hennur Road,1552.0,75.0,3,3,0,3,3
Bellandur,1785.0,120.0,3,2,0,0,3
Pai Layout,810.0,34.5,2,2,0,3,2
Banashankari Stage V,1650.0,51.98,3,2,2,3,3
Akshayanagara East,1595.0,70.39,3,2,0,3,3
Whitefield,1060.0,35.0,2,1,0,3,2
Babusapalaya,1410.0,65.0,2,3,0,3,3
Nagarbhavi,1523.0,56.0,2,2,0,3,3
Kanakpura Road,1591.0,122.0,3,1,2,3,3
Ashwath Nagar,1640.0,84.0,3,3,0,3,3
Yelahanka New Town,450.0,16.0,1,0,0,0,1
Bannerghatta Road,1305.0,60.0,2,2,0,3,3
Yelahanka,1590.0,54.0,3,1,0,3,3
Kaggadasapura,1240.0,45.0,2,3,0,0,2
MCECHS  layout,1200.0,54.0,2,2,0,3,2
Dodda Nekkundi,1100.0,41.16,2,1,0,3,2
Koramangala,1180.0,128.0,2,1,0,3,2
Sarjapur  Road,1115.0,50.0,2,1,0,3,2
Bisuvanahalli,845.0,33.0,2,1,0,3,2
4th Block Jayanagar,1567.2,190.0,2,0,0,3,3
Channasandra,1310.0,45.0,2,2,0,3,3
Yelahanka,26136.0,150.0,1,0,0,2,1
Jyothi Nagar,959.0,42.5,2,1,0,0,2
8th Phase JP Nagar,1200.0,140.0,4,1,0,0,4
Kambipura,883.0,37.0,2,1,0,3,2
Rachenahalli,1050.0,55.5,2,2,0,3,2
Yelahanka,1390.0,70.21,2,2,2,3,2
Hulimavu,1556.5949939731809,46.0,2,3,0,0,2
Kenchenahalli,1280.0,69.0,2,2,0,3,3
Lingarajapuram,1280.0,150.0,5,3,0,2,7
Yelahanka,1614.0,95.0,3,2,0,3,3
Kasturi Nagar,1000.0,58.0,2,0,0,3,2
Marathahalli,1196.0,57.9,2,2,2,3,2
Sarjapur  Road,1220.0,57.0,3,2,0,3,3
Ambalipura,950.0,31.95,2,1,2,3,2
Doddabommasandra,2400.0,325.0,8,1,0,3,9
Akshaya Vana,1141.0,55.0,2,1,0,3,2
5th Phase JP Nagar,1200.0,51.0,2,2,0,3,2
Kasavanhalli,1380.0,55.0,2,2,0,3,3
Doddathoguru,855.0,32.0,2,1,0,3,2
Chandapura,645.0,16.45,1,1,2,3,1
Chandapura,922.0,36.0,2,1,0,3,2
Nagappa Reddy Layout,1200.0,43.2,2,2,0,0,2
Nagadevanahalli,1240.0,65.0,2,2,0,3,3
7th Phase JP Nagar,1070.0,42.0,2,2,2,3,2
Rajiv Gandhi Nagar,1293.0,75.0,2,2,0,3,2
R.T. Nagar,1380.0,50.0,2,1,0,0,3
Yelahanka New Town,1599.0,80.0,3,2,0,3,3
Nehru Nagar,967.0,41.1,2,2,0,3,2
Silver Springs Layout,1885.0,90.0,3,3,0,3,3
1st Block Koramangala,860.0,65.5,2,2,0,0,2
Yelahanka,1075.0,19.5,1,0,0,2,1
Sarjapur  Road,1050.0,63.5,2,1,0,3,2
Marathahalli,1595.0,88.0,3,2,0,3,3
Sarjapur  Road,1350.0,102.0,2,2,0,3,2
Hebbal,1204.0,45.0,2,2,0,0,2
Sarjapur  Road,2990.0,240.0,4,2,0,3,4
Sarjapur  Road,1035.0,49.0,2,2,0,3,2
ITPL,1000.0,29.95,2,1,2,3,2
Sarjapur  Road,1457.0,85.0,3,3,0,3,3
Haralur Road,1194.0,47.0,2,2,0,3,2
Bannerghatta,1100.0,66.0,2,1,2,3,2
Whitefield,1655.0,120.0,3,3,2,3,3
Kanakpura Road,1691.2,115.0,3,1,0,3,3
Ramagondanahalli,1215.0,46.1,2,1,2,3,2
Kanakpura Road,1010.0,50.125,2,0,0,3,2
Hoodi,1639.0,129.0,3,2,2,3,3
Sarjapur  Road,1685.0,135.0,3,1,2,3,3
Kaveri Nagar,1008.0,180.0,4,2,0,0,5
Hormavu,1100.0,38.0,2,3,0,3,2
Marathahalli,2122.0,125.0,3,2,2,3,3
Vasanthapura,1050.0,47.0,2,2,0,3,2
Kengeri,1230.0,45.0,2,2,0,0,2
5th Phase JP Nagar,1240.0,60.0,3,2,0,3,3
Electronic City Phase II,1252.0,65.0,2,3,2,0,3
Canara Bank Colony,1374.0,88.0,2,2,0,3,3
8th Phase JP Nagar,500.0,30.0,1,1,2,3,1
Arekere,1200.0,225.0,8,2,0,2,8
Hebbal,1355.0,83.87,3,2,2,3,3
Banashankari,1040.0,45.0,2,3,0,3,2
Sarjapur  Road,1350.0,68.0,2,2,0,3,2
Whitefield,4003.0,300.0,6,3,2,3,4
Hennur,2400.0,135.0,3,3,0,3,3
Haralur Road,1560.0,90.0,3,1,0,3,3
Anandapura,1151.0,43.16,2,1,2,3,2
Uttarahalli,1360.0,47.59,2,2,0,3,3
Crimson Layout,1250.0,60.0,2,2,0,3,2
Chandapura,1110.0,29.97,2,2,2,3,3
Hennur Road,1015.0,50.0,2,2,0,0,2
Kadugodi,1351.0,78.0,2,2,0,3,3
Yelahanka New Town,960.0,50.0,2,2,0,3,2
Virat Nagar,1110.0,52.0,2,2,2,3,2
R.T. Nagar,1680.0,72.0,3,2,0,0,3
Arekere,2400.0,180.0,3,1,0,2,3
Yemlur,11000.0,2000.0,5,3,2,2,4
Ramamurthy Nagar Extension,1350.0,48.6,3,2,2,0,3
Horamavu Banaswadi,1254.0,47.0,2,2,0,3,2
Haralur Road,1255.0,115.0,3,2,0,3,3
CV Raman Nagar,1051.0,61.0,2,3,0,3,2
"2nd phase jp nagar, jp nagar",1200.0,205.0,3,1,0,2,3
Uttarahalli,1099.0,65.0,2,2,0,0,2
Hebbal,2650.0,199.0,4,3,0,3,3
Mathikere Extension,2000.0,160.0,2,1,2,0,4
Yeshwanthpur,1541.0,130.0,2,2,0,3,2
Sarjapur  Road,1200.0,70.0,3,2,2,2,3
Whitefield,1125.0,45.0,2,2,0,0,2
Vittasandra,1650.0,85.0,3,2,0,3,3
Ashwini layout,834.0,62.0,1,1,0,3,1
Gollarapalya Hosahalli,1320.0,60.0,3,2,0,3,3
Malleshpalya,1200.0,149.0,3,1,0,2,3
Indra Nagar,1000.0,160.0,7,0,0,2,8
Mysore Road,1500.0,74.0,3,2,2,3,3
Whitefield,4400.0,500.0,5,2,0,2,4
Kanakpura Road,1556.5949939731809,125.0,1,0,0,2,1
Moodalapalya,600.0,52.0,1,0,0,2,1
Whitefield,1180.0,70.0,2,2,0,3,2
Kadugodi,1010.0,50.0,2,1,0,3,2
Channasandra,1070.0,38.0,2,1,0,3,2
Choodasandra,1580.0,105.0,3,3,0,3,3
BEML Layout 5th Stage,1200.0,325.0,5,3,0,2,4
Green Glen Layout,2000.0,165.0,3,3,0,3,3
Iblur Village,1920.0,130.0,3,2,0,3,3
Sanjay nagar,1200.0,76.0,2,1,0,3,3
Kalena Agrahara,1040.0,45.0,2,2,0,0,2
Hulimavu,1430.0,90.0,2,2,0,3,3
Uttarahalli,1215.0,52.85,2,2,0,3,3
Domlur,650.0,70.0,1,1,0,3,1
Thanisandra,1564.0,105.0,3,1,0,3,3
Manonarayanapalya,800.0,52.0,2,1,0,0,3
Hormavu,750.0,58.0,2,0,0,0,2
Kasavanhalli,1200.0,60.0,2,2,0,3,2
Raja Rajeshwari Nagar,1128.0,48.79,2,1,0,3,2
Begur Road,1200.0,44.4,2,2,0,3,2
Cholanayakanahalli,2000.0,135.0,4,1,0,3,4
Jakkur Plantation,2750.0,260.0,3,1,0,3,3
4th T block Jayanagar,2400.0,480.0,4,2,0,2,4
Yelahanka,1650.0,105.0,3,3,0,0,3
1st Block Jayanagar,1235.0,148.0,2,2,2,3,2
Yelahanka,1200.0,55.0,2,2,0,0,2
M V Extenstion,900.0,100.0,5,2,0,3,6
Kengeri Satellite Town,985.0,42.0,2,2,0,3,2
Ramagondanahalli,1475.0,63.0,2,2,2,3,3
Hebbal,3450.0,348.0,5,0,0,3,3
Sarjapur  Road,1157.0,53.99,2,1,2,3,3
Canara Bank Colony,900.0,35.0,2,3,0,0,2
Gottigere,2500.0,120.0,3,2,0,2,4
GM Palaya,1030.0,60.0,2,1,0,0,2
Kamdhenu Nagar,1000.0,46.0,2,1,2,3,2
Sarjapur  Road,3800.0,325.0,3,3,0,0,4
Kasavanhalli,4260.0,333.0,4,2,2,2,4
Brookefield,1950.0,175.0,6,3,0,2,5
Kudlu,1570.0,65.94,2,2,0,3,3
Kanakapura,1283.0,68.0,2,2,2,3,2
Electronic City Phase II,875.0,40.0,2,2,0,0,3
Vinayaka Nagar,1200.0,52.0,2,2,0,3,2
HAL 2nd Stage,2700.0,500.0,3,0,0,2,3
Konanakunte,2400.0,180.0,2,3,0,2,3
Kathriguppe,1250.0,68.75,2,2,0,3,3
Old Madras Road,3630.0,196.0,6,1,2,3,4
Yelahanka,990.0,37.62,2,2,0,3,2
Panathur,1199.0,85.0,2,1,0,3,2
Brindavan Nagar,1280.0,90.0,2,2,0,3,2
1st Block Jayanagar,2750.0,413.0,4,0,2,3,4
Reliaable Tranquil Layout,1190.0,55.0,2,1,0,0,2
Yelachenahalli,1100.0,60.0,2,2,0,3,2
RMV,2075.0,175.0,3,1,0,3,3
Harlur,1133.0,55.0,2,1,0,0,2
Somasundara Palya,2400.0,140.0,3,3,0,0,4
Whitefield,1280.0,69.0,2,2,0,3,2
Horamavu Agara,1250.0,65.0,3,2,0,3,3
Begur Road,1565.0,49.3,2,2,0,3,3
Pattanagere,1900.0,65.0,3,0,0,3,3
Munnekollal,1080.0,45.0,2,2,0,0,2
Battarahalli,600.0,47.0,1,0,0,3,1
Himagiri Meadows,1240.0,180.0,4,1,0,2,3
HRBR Layout,1335.0,87.0,2,1,0,0,3
Vittasandra,1246.0,67.3,2,1,0,3,2
JP Nagar,3103.0,237.5,2,1,2,3,3
Sarjapur  Road,1385.0,55.0,3,1,0,3,3
Govindpura,1578.0,73.9,3,1,2,3,3
HSR Layout,1140.0,46.0,2,2,0,3,2
Sarjapur  Road,1700.0,79.9,3,1,2,3,3
Ganganahalli,1050.0,90.0,4,0,0,2,4
Vidyaranyapura,1120.0,70.0,2,1,0,0,2
Electronic City,435.0,22.0,1,1,0,3,1
Magadi Road,1116.0,51.89,2,1,0,3,2
Old Madras Road,1480.0,95.0,3,2,0,3,3
Hormavu,1000.0,50.0,2,2,0,0,2
HSR Layout,1145.0,46.0,2,2,0,3,2
Bommasandra,800.0,32.0,1,1,0,3,2
Thanisandra,1265.0,83.0,2,1,2,3,2
Devanahalli,1450.0,88.2,3,0,2,3,3
Narayanappa Garden,1475.0,70.0,2,1,0,3,2
BTM 2nd Stage,1265.0,55.0,2,2,0,3,2
Anandapura,1200.0,58.0,2,0,0,0,2
1st Phase JP Nagar,2180.0,210.0,3,2,0,3,3
Brookefield,1080.0,50.0,2,3,0,3,2
Whitefield,2023.0,130.0,4,2,0,3,3
Hanumantha Nagar,2400.0,125.0,2,3,0,3,2
Kadubeesanahalli,1545.0,66.0,2,2,0,3,3
Kalena Agrahara,1804.0,166.0,3,2,0,3,3
3rd Block Hrbr Layout,1200.0,200.0,2,1,0,2,2
6th Phase JP Nagar,1350.0,58.0,2,1,0,3,3
Hoodi,1108.0,74.23,2,1,2,3,2
Marathahalli,1730.0,115.0,3,2,0,3,3
RWF West Colony,1427.0,70.0,2,3,0,3,3
Yelahanka,935.0,35.53,2,1,0,3,2
Sarjapura - Attibele Road,1073.0,31.77,2,2,0,3,2
Ananth Nagar,960.0,37.0,2,3,0,0,2
Thigalarapalya,2215.0,150.0,4,2,0,3,3
Electronic City Phase II,1125.0,32.49,2,1,2,0,2
Brookefield,1230.0,55.0,2,3,0,0,2
Mahadevpura,1438.0,89.0,2,3,0,3,2
7th Phase JP Nagar,1080.0,75.0,2,2,0,3,2
Hebbal Kempapura,1200.0,125.0,3,2,0,2,3
Marathahalli,1200.0,103.0,1,1,0,2,2
Uttarahalli,1590.0,58.0,3,2,0,3,3
Seetharampalya,1350.0,68.0,3,2,0,3,3
Raja Rajeshwari Nagar,1400.0,48.0,2,2,0,3,3
Kaggadasapura,1560.0,72.0,2,3,0,3,3
Mallasandra,1810.0,57.0,3,2,0,0,4
Kanaka Nagar,2274.24,160.0,4,1,0,3,3
Sonnenahalli,1484.0,74.18,3,1,2,3,3
Indira Nagar,1650.0,220.0,3,3,0,0,3
Stage-4 Bommanahalli,1455.0,55.0,2,2,0,3,3
Thanisandra,2280.0,184.0,4,2,0,3,3
Rest House Road,4900.0,980.0,5,2,0,3,5
Frazer Town,2079.0,220.0,3,3,2,0,3
Bharathi Nagar,1351.0,74.0,2,2,0,3,2
Kanakpura Road,1223.0,42.81,2,2,0,3,3
KR Puram,1430.0,61.0,2,1,2,3,3
Whitefield,3589.0,400.0,5,0,0,0,4
Electronic City Phase II,1310.0,37.83,2,2,2,3,3
Channasandra,1800.0,300.0,4,1,0,2,4
Giri Nagar,1120.0,175.0,4,2,2,2,4
Sarjapur  Road,984.0,55.0,2,1,2,3,2
Jalahalli,1770.0,100.0,3,3,0,0,3
Immadihalli,900.0,105.0,3,1,0,2,2
Ramamurthy Nagar,1350.0,120.0,5,1,0,2,5
Bhoganhalli,1447.0,75.97,2,1,2,3,2
Margondanahalli,1140.0,60.0,2,1,0,0,2
Bommanahalli,1170.0,34.0,2,3,2,3,2
Poorna Pragna Layout,1160.0,46.39,2,2,0,3,2
Kanakpura Road,1296.0,89.0,2,1,2,3,2
Kempapura,1570.0,80.0,3,2,0,0,3
Nagappa Reddy Layout,1495.0,65.0,2,2,0,3,3
Hoodi,1530.0,67.0,2,2,0,3,3
Rajaji Nagar,900.0,140.0,4,0,0,2,5
Gunjur,1800.0,70.0,3,1,0,3,3
Bellandur,1088.0,48.0,2,2,0,3,2
Hosa Road,1533.0,98.18,3,1,2,3,3
Rachenahalli,1100.0,68.0,2,1,0,3,2
Thubarahalli,1540.0,90.0,3,3,0,0,3
Hebbal,1244.0,48.0,3,3,0,3,2
Hosa Road,1040.0,68.59,2,1,2,3,2
Ex-Servicemen Colony Dinnur Main Road R.T.Nagar,1034.0,101.0,6,2,0,0,6
Begur Road,1260.0,39.69,2,1,0,3,2
Uttarahalli,1180.0,41.3,2,1,0,3,2
Thigalarapalya,1245.0,100.0,2,2,0,3,2
Dollars Colony,1350.0,75.0,3,0,0,3,3
KUDLU MAIN ROAD,1464.0,56.0,3,2,0,3,3
Alur,470.0,10.0,2,1,0,3,1
Vijayanagar,920.0,60.0,2,2,0,3,2
Vijay Nagar,2300.0,160.0,7,0,0,0,6
Sarjapur,1124.0,30.35,2,1,0,3,2
Yelahanka New Town,2095.0,109.0,3,1,2,3,4
Begur Road,1100.0,71.42,2,1,2,3,2
Vijayanagar,1019.0,58.0,2,1,0,3,2
Harlur,1756.0,128.0,3,2,0,3,3
Bommasandra,1280.0,50.0,3,1,2,3,3
Kenchenahalli,1200.0,125.0,3,2,0,2,4
Indira Nagar,1700.0,150.0,3,2,0,3,3
Whitefield,2134.0,118.0,4,2,2,3,3
Hosa Road,1369.1,98.0,2,1,2,3,2
Subramanyapura,600.0,69.0,3,1,0,2,3
Hennur Bande,1313.0,150.0,4,1,0,2,3
Carmelaram,2515.0,155.0,4,3,0,3,3
Thigalarapalya,2215.0,154.0,4,2,0,3,3
Basapura,1440.0,72.0,3,2,0,3,3
Hennur Road,1186.0,55.33,2,2,0,3,3
Uttarahalli,1350.0,47.24,2,2,0,3,3
Hebbal,1800.0,140.0,3,2,0,3,3
Kudlu,1600.0,79.0,3,3,0,0,3
GM Palaya,1000.0,35.0,2,1,0,0,2
Cunningham Road,2275.0,285.0,3,3,0,3,3
Banashankari Stage III,1305.0,59.0,2,1,0,3,3
Binny Pete,1740.0,150.0,3,1,2,3,3
Malleshwaram,900.0,90.0,2,1,0,0,2
Benson Town,1567.0,140.0,3,0,0,0,2
Kambipura,1082.0,45.5,2,1,0,3,3
Nagarbhavi,1050.0,80.0,2,1,0,0,2
Atmananda Colony,1200.0,56.0,2,1,0,3,2
Begur,3500.0,185.0,4,2,0,0,3
Dasarahalli,1220.0,52.0,2,2,0,3,2
Binny Pete,1970.0,164.0,3,2,2,3,3
CMH Road,2665.0,350.0,3,1,2,3,3
Kanakapura,2130.0,120.0,4,0,0,0,4
Harlur,1749.0,120.0,3,2,0,3,3
Subramanyapura,1260.0,108.0,2,1,2,3,2
Doddaballapur,1556.5949939731809,48.0,2,1,0,3,3
6th Phase JP Nagar,1170.0,120.0,2,2,0,3,2
Ankappa Layout,1670.0,75.0,3,2,0,3,3
Hennur Road,2264.0,168.0,3,2,0,3,3
Byadarahalli,3500.0,450.0,5,2,2,3,4
Begur,1100.0,55.0,2,2,0,3,2
Chandapura,674.0,19.9,1,1,2,3,2
Koramangala,1320.0,160.0,2,1,0,3,2
Vishveshwarya Layout,600.0,85.0,4,2,0,2,4
Electronics City Phase 1,1125.0,65.0,2,2,0,3,2
Nagavara,1125.0,44.5,2,2,0,3,2
Baba Nagar,700.0,29.0,2,1,0,3,2
BTM Layout,1300.0,75.0,2,1,0,0,3
JP Nagar,1600.0,83.0,3,2,0,3,3
Magadi Road,1052.0,60.0,2,1,2,3,3
Neelasandra,1140.0,145.0,3,1,0,3,4
 Devarachikkanahalli,1130.0,36.0,2,2,0,3,2
Yediyur,1140.0,225.0,3,2,0,2,4
BTM 2nd Stage,2200.0,220.0,3,3,0,3,3
Electronic City,1500.0,63.0,2,1,0,0,3
Old Madras Road,1350.0,47.25,3,1,2,3,3
Gottigere,1230.0,52.0,2,2,0,3,3
Haralur Road,1520.0,85.0,2,2,2,3,3
Kanakpura Road,525.0,26.25,1,1,2,3,1
Hosa Road,1040.0,61.0,2,1,2,3,2
Upadhyaya Layout,1300.0,67.0,2,1,0,0,3
Old Airport Road,2690.0,201.0,4,3,2,3,4
Domlur,780.0,70.0,1,1,0,3,1
Panathur,1140.0,51.2,2,1,0,3,2
Chandapura,1225.0,33.08,3,1,2,3,3
Nagavarapalya,646.0,25.84,1,0,0,0,1
Cox Town,1600.0,150.0,3,1,0,3,3
Kadugodi,1890.0,125.0,4,3,2,3,3
Kadugodi,1050.0,34.0,2,1,0,0,2
Ittamadu,1200.0,100.0,4,2,0,2,6
Whitefield,1458.0,62.0,2,2,0,3,3
Naganathapura,1200.0,86.0,6,0,0,2,5
Green Glen Layout,1970.0,160.0,3,2,0,3,3
Whitefield,1808.0,80.0,4,0,0,2,3
Balagere,1007.0,67.0,2,1,0,0,2
Doddathoguru,1105.0,50.0,2,1,0,3,2
Lakshminarayana Pura,1700.0,150.0,3,3,0,3,3
Raja Rajeshwari Nagar,1170.0,50.0,2,3,0,3,2
Chandapura,1080.0,45.0,2,3,0,0,2
Kaggalipura,1150.0,62.0,2,1,0,3,3
Ramamurthy Nagar,1200.0,57.9,2,1,2,3,2
Jakkuru Layout,1200.0,54.0,2,1,0,3,2
Kudlu Gate,1656.0,75.0,3,2,0,3,3
bsk 6th stage 2ad block near sri conversation hall,600.0,87.0,4,2,2,2,4
KR Puram,1040.0,50.0,2,2,0,3,2
Hosur Road,1085.0,33.7,2,2,0,3,2
Virat Nagar,1215.0,49.75,2,2,2,3,3
NRI Layout,2150.0,115.0,4,2,0,0,4
Hoodi,1100.0,120.0,4,1,0,2,4
Panathur,1210.0,77.0,2,1,2,3,2
Kallumantapa,1050.0,55.0,2,1,0,0,2
"Annapoorneshwari Layout, JP nagar 7th phase",600.0,70.0,3,1,0,2,3
Iblur Village,1920.0,150.0,3,2,2,3,3
Uttarahalli,1250.0,50.0,2,1,0,3,3
Mysore Road,947.55,80.0,2,1,0,3,2
Malleshpalya,1421.0,90.0,2,1,0,0,2
Mudalpalaya,1050.0,155.0,4,2,0,2,6
Old Madras Road,1425.0,74.31,2,2,2,3,3
Budigere,1162.0,58.0,2,1,0,3,2
Whitefield,905.0,60.0,1,1,2,3,1
Sarjapur  Road,914.0,32.0,2,1,0,3,2
elachenahalli,1258.0,58.0,2,0,2,0,2
CV Raman Nagar,1100.0,220.0,4,2,0,2,4
